"","Species","AH","MainCategory","SubCategory","Family","SCCS10","SCCS101","SCCS103","SCCS105","SCCS106","SCCS11","SCCS110","SCCS111","SCCS112","SCCS113","SCCS114","SCCS115","SCCS116","SCCS117","SCCS12","SCCS14","SCCS141","SCCS149","SCCS15","SCCS152","SCCS153","SCCS154","SCCS155","SCCS157","SCCS158","SCCS159","SCCS16","SCCS160","SCCS163","SCCS168","SCCS169","SCCS17","SCCS171","SCCS172","SCCS18","SCCS184","SCCS19","SCCS20","SCCS21","SCCS22","SCCS23","SCCS24","SCCS25","SCCS26","SCCS27","SCCS28","SCCS29","SCCS3","SCCS30","SCCS31","SCCS32","SCCS33","SCCS34","SCCS35","SCCS36","SCCS37","SCCS38","SCCS39","SCCS4","SCCS40","SCCS41","SCCS42","SCCS43","SCCS44","SCCS45","SCCS46","SCCS47","SCCS48","SCCS49","SCCS5","SCCS50","SCCS51","SCCS52","SCCS54","SCCS55","SCCS56","SCCS57","SCCS58","SCCS59","SCCS6","SCCS60","SCCS61","SCCS62","SCCS63","SCCS64","SCCS65","SCCS66","SCCS67","SCCS68","SCCS69","SCCS7","SCCS70","SCCS71","SCCS72","SCCS73","SCCS74","SCCS75","SCCS76","SCCS78","SCCS8","SCCS81","SCCS82","SCCS83","SCCS84","SCCS85","SCCS87","SCCS88","SCCS89","SCCS92","SCCS93","SCCS94","SCCS98","SCCS99","Aspect","BulkDensity","ClayPercentage","annualPET","aridityIndexThornthwaite","climaticMoistureIndex","continentality","embergerQ","growingDegDays0","growingDegDays5","maxTempColdest","minTempWarmest","monthCountByTemp10","PETColdestQuarter","PETDriestQuarter","PETseasonality","PETWarmestQuarter","PETWettestQuarter","thermicityIndex","OrganicCarbon","PhCaCL","Slope","bio1","bio2","bio3","bio4","bio5","bio6","bio7","bio8","bio9","bio10","bio11","bio12","bio13","bio14","bio15","bio16","bio17","bio18","bio19"
"Sus scrofa","Sus scrofa","H","Pigs","Pigs","Suidae",NA,1,1,1,1,NA,1,1,1,1,NA,1,1,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,1,1,1,1,NA,NA,1,1,NA,NA,1,1,1,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,1,1,NA,1,NA,NA,1,1,1,1,1,NA,NA,NA,NA,NA,1,1,1,1,1,1,1,1,1,-0.221043274532771,0.0456889016811573,0.378402516898273,-0.35560629872817,-0.225280248658864,-0.0412101063636905,-0.268572954620873,-0.199335248731718,-0.103135367381481,-0.272443024292422,0.101321713013521,0.167948417916172,0.00122130305110665,-0.52679531778865,-0.346152755510806,0.409262794947999,-0.231871911384833,-0.413461395067948,-0.0638106751486421,0.0794815052808795,0.559404595744212,-0.0283401554997912,0.161086423832876,-0.997918731424298,-0.426053207044756,-0.25891001439947,-0.0534253407388469,0.337507113330037,-0.509467550429553,-0.186098319195923,0.1456149117267,0.0845639646356008,0.20956516823192,-0.143342821251274,-0.432181064379844,0.494976739421405,-1.20725750678868,-0.420741191014157,0.497933516161985,-0.300259290614394,0.0941291147427658
"Capra hircus aegagrus","Capra hircus aegagrus","H","Ovicaprids","Goats","Caprinae",4,NA,NA,NA,NA,1,NA,NA,NA,NA,4,NA,NA,NA,4,4,NA,1,4,NA,NA,NA,4,NA,NA,1,1,1,NA,NA,NA,1,NA,NA,1,NA,4,4,1,1,1,NA,1,NA,NA,NA,NA,1,1,1,4,NA,1,NA,NA,1,NA,1,NA,1,NA,NA,NA,4,NA,NA,4,NA,4,NA,NA,NA,NA,NA,NA,NA,1,1,NA,1,4,NA,NA,NA,1,1,4,4,1,4,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0411022610132374,0.331502936195422,0.585033155548377,0.493414834883561,1.1562540058465,-0.974610970744958,-0.00113268124531239,-0.427004453305655,0.414971775639166,0.304684000669931,0.335158360880222,0.817852608829373,0.409348776650645,-0.0310588435817307,1.55314439121308,1.10120772619618,1.00310691583951,-1.00560170956676,0.353401084246925,-0.372318021598842,1.28737310511797,1.23247797360832,0.526273773958192,0.558935890937021,-0.162508277610747,-0.0228234931751624,0.955374370792353,0.396815518395652,0.0583702656409197,-0.850143390495245,1.12218683420061,0.847486812862812,0.376142324973521,-0.488748420755554,-0.362692405796361,-0.600957479778575,0.841701192044848,-0.358644189984387,-0.633849436974401,-1.07691904836995,0.278863665091281
"Ovis aries orientalis","Ovis aries orientalis","H","Ovicaprids","Sheep","Caprinae",4,NA,NA,NA,NA,1,NA,NA,NA,NA,4,NA,NA,NA,4,4,NA,1,4,NA,NA,NA,4,NA,NA,1,1,NA,NA,NA,NA,1,NA,1,1,1,4,4,1,1,1,NA,1,NA,NA,NA,NA,1,1,1,4,NA,1,NA,NA,1,NA,NA,NA,1,NA,NA,1,4,NA,NA,4,NA,4,NA,NA,1,NA,NA,NA,NA,1,1,NA,NA,4,NA,NA,NA,1,1,4,4,NA,4,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.277744831058709,0.335032554535652,0.417113544027013,-0.0294803689509634,1.12301675408336,-1.184690594073,0.175069264137744,-0.51388075604134,-0.205002306853574,-0.298739889632329,-0.0979815479041737,-0.00971579436344155,-0.289863025945665,-0.389830258474186,0.710256120917848,0.837618269914304,0.360668655590057,-0.722598816181513,-0.248744025014407,-0.359933694122078,0.886800394233596,0.87259654480707,-0.0273154199644437,0.332087341980642,-0.333522503303215,0.138489942812012,0.183160707488652,-0.0682512803144125,0.214302763363247,-0.87359569970407,0.533031096730327,0.0739766459609965,-0.0661548493304116,-0.757173970837608,-0.718053376474497,-0.564480321399697,0.0513003229119095,-0.739990440247354,-0.574960362161361,-1.00060720645059,-0.264560998520391
"Equus africanus","Equus africanus","H","Equines","Donkey/Mule","Equidae",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,1,NA,1,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,1,1,NA,NA,4,NA,NA,NA,NA,1,NA,NA,NA,1,NA,NA,1,NA,1,NA,1,NA,NA,1,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.20632904508962,0.278973910308474,0.124519371622666,1.26178281920457,1.36081752916077,-1.3994135435041,-1.09637717065537,-0.447938773257566,1.48471549014912,1.49289054095034,1.24851061069252,1.40248542880983,1.11847847715612,1.58734141951444,0.855288083760502,-1.30076065581358,0.675732476165967,1.22284091642103,1.4736588688505,-0.405038563398332,1.23229435737137,-0.238189155020079,1.2902523916502,-0.072134666368542,1.06527981741144,-1.06439914616398,1.13325041134322,1.34315939225488,-1.15858236195572,1.58045393590737,1.04555538862755,1.30091369052136,1.28167344455095,-0.79848168463299,-0.742540701704663,-0.617447154114233,0.664901981272182,-0.795669892757232,-0.634124736516663,-0.75229217183837,-0.579340977016915
"Equus przewalskii","Equus przewalskii","H","Equines","Horse","Equidae",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,NA,NA,NA,NA,NA,NA,NA,1,1,1,NA,NA,NA,NA,NA,1,NA,1,NA,NA,NA,1,NA,NA,1,4,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,2,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,1,1,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0664981479014901,-0.150108295713718,0.0372241763180666,-0.678879211668817,0.0571766169692178,-0.521156085044171,0.774938050648896,-0.463333707752679,-0.938279800218103,-0.928072396228127,-0.76582835162206,-0.724130268444212,-1.00891062436031,-0.89110846111566,-0.978150209020691,0.601103578779425,-0.431268003483803,0.165129201403941,-0.818328749477729,-0.0920876388606403,0.338985917356174,0.328028120090117,-0.754127097279828,0.56183071000723,-0.551806941886075,0.768131765770463,-0.6765152036559,-0.905660299639306,0.837766334196793,-0.309333140139742,-0.931927304325582,-0.676576126455681,-0.828965087114728,-0.570827735683075,-0.337377499667213,-0.573474689219147,1.25697375688297,-0.361083577762853,-0.606044183205898,-0.0322750669427117,-0.56716594268688
"Rangifer tarandus","Rangifer tarandus","H","Deer","Deer/Reindeer","Cervidae",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.550010834236906,0.449018464464247,-0.903700715364311,-1.18422000688723,-2.0707142657426,2.01984480336542,-0.3873549814909,0.179976082366326,-1.06058209489892,-1.0426608824834,-0.419803278548586,-1.38504466061407,-1.40562654072701,-0.896060554932293,-0.641033434189962,-0.472169469958247,-1.38920736585453,-1.48812566948887,-1.0423127740047,-0.278128658194259,-1.07162462507455,1.52233394008583,-0.712420477403825,-1.55322936883548,-0.580763040881761,-0.350401816845315,-1.54235998346064,-0.203285578347491,-0.709696177153766,-1.40933172315803,-0.314858768803825,-1.36903862273105,-0.353514870413544,0.513441012145209,-0.00567627332026057,1.14370003364409,-1.16917490544942,0.0694086598410946,1.13172160924775,0.445980654675216,0.651887040140372
"Camelus bactrianus","Camelus bactrianus","H","Camelids","Bactrian camel","Camelidae",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.00635712596720375,0.5530383931969,0.205488828137076,-0.324726587946353,0.93118065987403,-1.12783885726268,0.63015211616845,-0.528862790104434,-0.697395919189696,-0.724538570389886,-0.465998069072263,-0.285471459123655,-0.517974677856518,-0.731454288207072,-0.662023856022239,1.0135462821092,0.130994975286297,0.497709221442364,-0.477894147959288,-0.387382429457023,1.24606404430802,0.674765317462606,-0.368231866171486,0.665079256844684,-0.494637207971516,0.621446262542406,-0.085415887240553,-0.57550586893368,0.75476519784112,0.00633494181104226,-0.537337159177217,-0.162315820726932,-0.501624541359159,-0.78371294622294,-0.722588066331935,-0.558817200920784,0.719175227369837,-0.735060488723042,-0.587874413416579,-0.686541224094008,-0.520630255914305
"Camelus dromedarius","Camelus dromedarius","H","Camelids","Arabian camel","Camelidae",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,NA,NA,NA,NA,1,4,NA,1,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.467355783089934,0.361193255175002,-0.0526013145026077,0.83756148382652,1.47861541016654,-1.46543852183581,-0.254158536616983,-0.556518437330667,0.834392117188347,0.841613305650337,0.602732345220321,1.03999097710172,0.876040972709805,0.26155961195869,1.70855122311286,1.05676704612594,1.3023242554062,-0.885202199421302,0.694087743291322,-0.425448406302964,1.22311456608027,0.30117573497818,0.813235455105255,0.699817085687192,0.126062760243692,-0.25994555958047,1.14679114799415,0.654472921020312,-0.180649164726225,-0.447076369559574,1.20623422611944,1.09759772402678,0.64142976472708,-0.906129377932909,-0.889691387578529,-0.637601200524481,0.577735858751704,-0.893433049109595,-0.675970266940549,-1.10817286209597,-0.393739342563503
"Lama glama guanicoe","Lama glama guanicoe","H","Camelids","Llama","Camelidae",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.0254179509909654,-0.483352600934978,-0.0949524964865,-0.441730811965312,0.285058678780872,-0.230544592028294,-0.87042750676941,-0.190194118044306,-0.477134537810103,-0.625251961115374,0.163019773898289,-1.03093044630313,-0.670212525230318,-0.462765627057453,0.303580908497381,-0.0420953714655047,-0.531588190385066,-1.44555059727773,-0.226484857758829,-0.0945765088943667,-0.172527847511536,1.30284660188165,-0.135997838936114,-0.34145190214753,0.519915957005424,-0.843539493807274,-0.953913961903571,0.29130844222698,-1.02582677797664,-1.16820663984279,0.301755081794641,-0.874165893676635,0.191070352246659,-0.380241869474164,-0.555251458569101,0.13551860883262,-0.733895728901825,-0.531376960320393,0.100881077138501,-0.603783304751119,0.011060231467973
"Bubalus bubalis arnee","Bubalus bubalis arnee","H","Bovines","Buffalo","Bovinae",NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,NA,4,NA,NA,NA,NA,NA,NA,NA,NA,4,NA,NA,4,NA,4,4,NA,4,NA,NA,NA,4,NA,NA,NA,NA,4,4,1,4,4,1,NA,NA,NA,4,NA,1,NA,4,NA,NA,NA,NA,NA,NA,NA,0.264300554927425,0.385173897427739,0.0827694956074226,0.568413077287035,-0.0276271926716857,1.23816173005822,-1.05897789250376,1.72028683421239,1.24951441565167,1.26422021580251,1.05986508102125,1.32512380801846,1.11847847715612,0.911684175234635,0.372270106218063,-1.27782153908493,-0.279268268529111,0.241308066983676,1.18557138409042,-0.287985684597064,-0.313353001267641,-0.0836574696253585,1.11789739156773,-0.934790749290825,0.895812391879,-1.04270413926889,0.52299403000695,1.17310550652261,-1.31325952450005,1.16347187817447,0.907742385701809,0.954308376211552,1.11508792508247,2.16960398091675,3.0416013007042,0.0517587960078655,0.490980897186512,2.92012754079089,0.107532230338255,3.47626037110228,0.56044515351313
"Bos grunniens mutus","Bos grunniens mutus","H","Bovines","Yak","Bovinae",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,4,1,1,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.510654246763135,-0.236478136354758,-0.158095173711287,-0.67787048169235,-0.0369736582765681,-0.0683719635569568,0.0674089551266297,-0.224766140799313,-0.918613742072224,-0.896319749320036,-0.436233059975285,-1.31588290792057,-1.08024319778394,-0.664632908564041,-0.848071072072971,-0.140716494990238,-0.81131556824706,-0.246182921192255,-1.01252242791818,0.0108587116143719,0.57134938441215,0.950094141306209,-0.731364736286546,0.657359739324127,-0.125861012280902,0.0742269505885485,-1.17511377100916,-0.666535767723981,0.179339559800134,-0.792198146511595,-0.708284230070961,-1.16509300639018,-0.556789976844684,-0.145665578348758,0.274813479588605,-0.550642832446698,1.03380824146044,0.261956268803422,-0.554584345690695,0.937318936531407,-0.533263154783246
"Bos taurus primigenius","Bos taurus primigenius","H","Bovines","Cattle","Bovinae",NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,1,4,4,NA,NA,2,NA,4,NA,NA,NA,NA,NA,1,1,1,NA,NA,NA,2,NA,1,2,1,NA,NA,1,1,1,4,1,4,4,NA,4,1,1,1,4,4,1,4,NA,1,4,1,4,NA,NA,4,1,4,4,NA,4,1,4,4,4,1,NA,4,4,4,1,NA,4,NA,4,4,4,4,1,1,4,4,1,1,NA,1,4,4,1,NA,4,NA,NA,4,4,4,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.660920688183841,-0.210231191647366,-0.270206728885086,-0.641583511779857,-0.698844533347064,0.243488482436137,-0.136338943835237,-0.241705700917173,-0.552970039961043,-0.6595423546404,-0.169070527210701,-0.220340342190735,-0.408877800855675,-0.761285124356354,-0.774877697864484,0.422082897153857,-0.466935305709144,0.130087504769819,-0.426919555766795,0.136939955447766,-0.643137003400419,-0.408664869855311,-0.0933340461891171,-1.22195680105556,-0.605709833862659,-0.142545689782441,-0.427381036479514,0.11301118373478,-0.434967428126013,0.0798813834899174,-0.168023031157386,-0.274881866938534,-0.0353516723668758,-0.17519169460085,-0.375312447669611,0.290584245969304,-0.951453966145272,-0.342168940219056,0.252229669751375,-0.00255445917306297,-0.0899045969495358
"Fagopyrum esculentum","Fagopyrum esculentum","A","Pseudocereals","Buckwheat","Polygonaceae",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0764206468687176,-0.110551959287319,0.0483218792754544,-0.420320297625652,-1.03322317350714,0.89035090317951,-0.136627444275778,0.0236693163635972,-0.305317916282067,-0.397797352831694,-0.000842275572099885,0.0789083581753476,-0.170772829758774,-0.490954374659813,-0.498767107234915,0.166645978182571,-0.402182662067151,-0.288262915442978,-0.200800486998627,0.0772349751116192,-0.630540095883471,0.086746995917719,0.0151211409991561,-0.871368895745028,-0.455789116104535,-0.139004312429879,-0.219372293375928,0.139186030110148,-0.337508475273847,-0.0126623203708895,-0.0321661524821679,-0.0660410660692474,0.0589230635519456,0.429416309300067,0.17784857375779,0.712594512199126,-0.745827213353297,0.211847916822076,0.677954975438598,0.662887419604935,0.220199236894869
"Fagopyrum tataricum","Fagopyrum tataricum","A","Pseudocereals","Buckwheat","Polygonaceae",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0946135891075243,0.0220384576005747,-0.444797119494284,-0.401750992144452,-0.496204925541627,0.0356965112059201,-0.353226368289309,-0.173346211371707,-0.819574031789568,-0.826157058265464,-0.0461769663875055,-1.15376355533911,-0.936179373026415,-0.354233362936116,-0.648738068810392,-0.419146381183869,-0.691149349155973,-0.0901938173760363,-0.770375994115276,-0.0959752279853321,1.06017327066324,2.58989970812321,-0.427364562700067,0.88026080773022,0.187316046580719,-0.343595540172345,-1.04188428521994,-0.337049237134749,-0.198332231478241,-0.62312503735382,-0.389430229280832,-1.00042941594348,-0.19843889592652,-0.0627523661723369,0.223416258277512,-0.54874017771566,0.963404834809288,0.25561241715469,-0.54327588757007,0.936740582213545,-0.524147488054092
"Triticum urartu","Triticum urartu","A","Cereals","Wheat","Poaceae",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,1,1,NA,NA,1,1,1,NA,1,NA,4,NA,NA,1,1,1,1,NA,NA,NA,NA,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.250891043637396,0.682596148744156,1.36942476553173,0.393775181111931,1.17755425619537,-0.944146585454474,-0.219271515487258,-0.398640813973315,0.327065103296832,0.26704269662361,0.319159189528119,0.398994690544701,0.285375052786051,-0.141571194913336,1.54770638671212,1.08345760942632,0.894162695113244,-1.54954776198417,0.232570845612349,-0.355162562014501,0.789160795955529,0.2842525057461,0.442581860811173,0.442616797388622,0.000586331262387982,-0.214817691757624,0.665591415770987,0.446935177536339,-0.199253412687999,-1.14376630178973,1.03551764306862,0.543979789286128,0.382717404946482,-0.477910553629391,-0.333602370360896,-0.63343714134881,0.864053396704902,-0.311033481664819,-0.666860354814775,-1.10626975680047,0.459742861986376
